zip,lat,lon,state,policy_count,running_sum,running_percentage
44907,40.726256,-82.52284,OH,3,9244,96.54
45041,39.21589,-84.70411,OH,3,9247,96.57
45107,39.29312,-83.98882,OH,3,9250,96.61
45122,39.21292,-84.10444,OH,3,9253,96.64
45205,39.11161,-84.577994,OH,3,9256,96.67
45206,39.12616,-84.482642,OH,3,9259,96.70
45219,39.12851,-84.515191,OH,3,9262,96.73
45302,40.407239,-84.203271,OH,3,9265,96.76
45308,40.13227,-84.43078,OH,3,9268,96.79
45321,39.872177,-84.681067,OH,3,9271,96.83
45345,39.74533,-84.38495,OH,3,9274,96.86
45403,39.764658,-84.150738,OH,3,9277,96.89
45406,39.782457,-84.239391,OH,3,9280,96.92
45415,39.834756,-84.252292,OH,3,9283,96.95
45623,38.59092,-82.28293,OH,3,9286,96.98
45644,39.424824,-82.862234,OH,3,9289,97.01
45711,39.410743,-81.936397,OH,3,9292,97.04
45775,39.090877,-82.148554,OH,3,9295,97.08
45812,40.679192,-83.795649,OH,3,9298,97.11
45850,40.70644,-83.92133,OH,3,9301,97.14
45853,40.98283,-84.19939,OH,3,9304,97.17
43003,40.389346,-82.98071,OH,2,9306,97.19
43025,39.974804,-82.511108,OH,2,9308,97.21
43044,40.117805,-83.587808,OH,2,9310,97.23
43046,39.884758,-82.539214,OH,2,9312,97.25
43080,40.23423,-82.45127,OH,2,9314,97.27
43109,39.91812,-82.83212,OH,2,9316,97.30
43146,39.80284,-83.15186,OH,2,9318,97.32
43155,39.63769,-82.532092,OH,2,9320,97.34
43160,39.536986,-83.455012,OH,2,9322,97.36
43314,40.631257,-82.958179,OH,2,9324,97.38
43320,40.588234,-82.890436,OH,2,9326,97.40
43334,40.406317,-82.782091,OH,2,9328,97.42
43342,40.492106,-83.178414,OH,2,9330,97.44
43344,40.427182,-83.352079,OH,2,9332,97.46
43407,41.278621,-83.244604,OH,2,9334,97.48
43435,41.325996,-83.318648,OH,2,9336,97.50
43518,41.58754,-84.738401,OH,2,9338,97.52
43524,41.230082,-84.035807,OH,2,9340,97.55
43554,41.68005,-84.55301,OH,2,9342,97.57
43556,41.318045,-84.569545,OH,2,9344,97.59
435603602,41.6929,-83.727737,OH,2,9346,97.61
436233218,41.702945,-83.650062,OH,2,9348,97.63
43739,39.884312,-82.297706,OH,2,9350,97.65
